,Case Number,DBF,Age From,Age To,City,County,State,Sex,Race / Ethnicity,Date Modified,State_FIPS,State_County,County_FIPS
51,UP67784,1/12/2020,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
55,UP67337,1/9/2020,,,Vega Baja,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
57,UP65131,1/4/2020,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
58,UP64754,1/3/2020,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
60,UP65129,12/31/2019,,,CULEBRA,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
66,UP65126,12/18/2019,,,CAROLINA,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
69,UP65125,12/17/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
70,UP65130,12/16/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
75,UP65124,12/11/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
76,UP64751,12/8/2019,,,GUAYAMA,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
93,UP65086,11/6/2019,,,PONCE,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
94,UP64747,11/6/2019,,,MAYAGÜEZ,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
98,UP65122,11/1/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
131,UP64755,9/14/2019,,,MAYAGUEZ,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
154,UP64748,8/10/2019,,,SAN GERMAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
172,UP66429,7/18/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
177,UP65121,7/13/2019,,,PONCE,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
191,UP64756,7/3/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
203,UP64750,6/22/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
249,UP57135,4/21/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
256,UP58151,4/11/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
264,UP57140,3/31/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
281,UP65088,3/7/2019,,,San Juan,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
302,UP56497,1/29/2019,20.0,41.0,Carson City,Carson,Nevada,Male,White / Caucasian,1/23/2020,32,32_Carson,
306,UP57111,1/25/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
307,UP65119,1/23/2019,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
309,UP58497,1/22/2019,,,CAYEY,All,Puerto Rico,Male,Hispanic / Latino,7/3/2019,72,72_All,
349,UP57143,11/20/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
351,UP57114,11/15/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
352,UP57112,11/15/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
354,UP57145,11/12/2018,,,CAGUAS,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
357,UP57138,11/6/2018,,,BAYAMON,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
365,UP57110,10/25/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
367,UP58154,10/24/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
375,UP57109,10/15/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
381,UP53065,10/5/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
394,UP53073,9/17/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
398,UP54770,9/11/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
409,UP53075,8/30/2018,,,DORADO,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
412,UP53428,8/19/2018,,,VEGA ALTA,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
419,UP52728,8/4/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
424,UP53140,7/29/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
425,UP52597,7/26/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
427,UP53138,7/25/2018,,,TRUJILLO ALTO,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
433,UP52722,7/22/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
447,UP52725,7/6/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
449,UP52726,7/5/2018,,,GUAYNABO,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
450,UP52724,7/4/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
452,UP52587,7/3/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
453,UP52432,7/3/2018,,,Toa Baja,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
456,UP52594,6/30/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
468,UP52495,6/9/2018,,,Mayaguez,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
469,UP65120,6/8/2018,,,DORADO,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
473,UP52592,6/6/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
476,UP52585,6/4/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
479,UP52595,6/3/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
482,UP52497,5/29/2018,,,San Juan,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
489,UP52586,5/11/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
493,UP51954,5/7/2018,,,BAYAMON,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
495,UP52727,5/7/2018,,,PENUE,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
503,UP53144,5/2/2018,,,MAYAGUEZ,All,Puerto Rico,Male,Hispanic / Latino,5/7/2019,72,72_All,
504,UP52494,4/30/2018,,,San Juan,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
505,UP51756,4/30/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
507,UP51529,4/25/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
516,UP17825,4/15/2018,1.0,99.0,CAGUAS,All,Puerto Rico,Male,"Black / African American, Hispanic / Latino",3/6/2019,72,72_All,
520,UP52590,4/10/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
527,UP52475,4/1/2018,,,San Juan,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
542,UP52593,3/18/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
543,UP52492,3/18/2018,,,Caguas,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
551,UP51525,3/3/2018,,,HATILLO,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
555,UP52496,2/20/2018,,,San Juan,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
567,UP52430,2/5/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
568,UP53142,2/5/2018,,,DORADO,All,Puerto Rico,Male,Hispanic / Latino,5/7/2019,72,72_All,
575,UP52474,1/30/2018,,,Juncos,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
576,UP17664,1/29/2018,,,Rural,,New Mexico,Male,Uncertain,1/21/2020,35,,
584,UP52489,1/18/2018,,,Carolina,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
585,UP52512,1/18/2018,,,ARECIBO,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
589,UP51882,1/15/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
592,UP53146,1/12/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
593,UP53429,1/12/2018,,,SAN JUAN,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
594,UP52466,1/12/2018,,,San Juan,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
597,UP55541,1/7/2018,,,MANATI,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
612,UP52429,12/29/2017,,,CAGUAS,All,Puerto Rico,Male,Hispanic / Latino,4/2/2020,72,72_All,
