OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,ORIG_FID,Lon_dd,Lat_dd
1,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,1,-89.66542545,32.75147261
2,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,2,-79.38005244,35.54223806
3,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,3,-97.50829268,35.58348564
4,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,4,-78.88328546,37.51296719
5,54,1779805,0400000US54,54,WV,West Virginia,0,62266474513,489028543,5,-80.61373091,38.64258677
6,22,1629543,0400000US22,22,LA,Louisiana,0,1.11898E+11,23753621895,6,-92.78333393,31.32711972
7,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,7,-84.6221747,43.48303049
8,25,606926,0400000US25,25,MA,Massachusetts,0,20205125364,7129925486,8,-71.71826828,42.35877265
9,16,1779783,0400000US16,16,ID,Idaho,0,2.1405E+11,2391722557,9,-114.6594088,44.38911589
10,12,294478,0400000US12,12,FL,Florida,0,1.38949E+11,31361101223,10,-81.93225924,28.63089319
11,31,1779792,0400000US31,31,NE,Nebraska,0,1.98957E+11,1371829134,11,-99.81080903,41.52714895
12,53,1779804,0400000US53,53,WA,Washington,0,1.72113E+11,12559278850,12,-120.4306696,47.37474538
13,35,897535,0400000US35,35,NM,New Mexico,0,3.14196E+11,728776523,13,-106.1083886,34.42137075
14,72,1779808,0400000US72,72,PR,Puerto Rico,0,8868896030,4922382562,14,-66.47805387,18.22410179
15,46,1785534,0400000US46,46,SD,South Dakota,0,1.96347E+11,3382720225,15,-100.2305118,44.43615891
16,48,1779801,0400000US48,48,TX,Texas,0,6.76653E+11,19006305260,16,-99.35308429,31.48791658
17,6,1779778,0400000US06,6,CA,California,0,4.03504E+11,20463871877,17,-119.2704137,36.37362708
18,1,1779775,0400000US01,1,AL,Alabama,0,1.31174E+11,4593327154,18,-86.82809244,32.79036408
19,13,1705317,0400000US13,13,GA,Georgia,0,1.49482E+11,4422936154,19,-83.44634875,32.64923334
20,42,1779798,0400000US42,42,PA,Pennsylvania,0,1.15884E+11,3394589990,20,-77.7995884,40.87384005
21,29,1779791,0400000US29,29,MO,Missouri,0,1.78051E+11,2489425460,21,-92.47741015,38.36761314
22,8,1779779,0400000US08,8,CO,Colorado,0,2.68423E+11,1181621593,22,-105.5478247,38.99855181
23,49,1455989,0400000US49,49,UT,Utah,0,2.12886E+11,6998824394,23,-111.6782277,39.32382282
24,47,1325873,0400000US47,47,TN,Tennessee,0,1.06803E+11,2350123465,24,-86.34338034,35.84298709
25,56,1779807,0400000US56,56,WY,Wyoming,0,2.51459E+11,1867670745,25,-107.5513733,42.99956241
26,36,1779796,0400000US36,36,NY,New York,0,1.22049E+11,19246994695,26,-75.50534781,42.94339413
27,20,481813,0400000US20,20,KS,Kansas,0,2.11755E+11,1344141205,27,-98.38021314,38.48470815
28,2,1785533,0400000US02,2,AK,Alaska,0,1.47884E+12,2.45482E+11,28,-152.6808128,64.5302055
29,32,1779793,0400000US32,32,NV,Nevada,0,2.8433E+11,2047206072,29,-116.6552247,39.35624291
30,17,1779784,0400000US17,17,IL,Illinois,0,1.43781E+11,6214824948,30,-89.1984152,40.06501527
31,50,1779802,0400000US50,50,VT,Vermont,0,23874175944,1030416650,31,-72.66264936,44.07519582
32,30,767982,0400000US30,30,MT,Montana,0,3.76963E+11,3869208832,32,-109.6451435,47.0334699
33,19,1779785,0400000US19,19,IA,Iowa,0,1.44661E+11,1084180812,33,-93.50006494,42.07462687
34,45,1779799,0400000US45,45,SC,South Carolina,0,77864918488,5075218778,34,-80.89615857,33.90800342
