,Case Number,DBF,Age From,Age To,City,County,State,Sex,Race / Ethnicity,Date Modified,State_FIPS,State_County,County_FIPS,City_string,County_city,GNIS_city
3,UP55409,3/26/2000,0.0,120.0,,Baldwin,Alabama,Male,"White / Caucasian, Asian, American Indian / Alaska Native",2/13/2020,1,1_Baldwin,1003,,,
4,UP13483,3/27/1961,14.0,17.0,,Bibb,Alabama,Male,White / Caucasian,3/25/2019,1,1_Bibb,1007,,,
5,UP512,10/31/2005,33.0,43.0,,Blount,Alabama,Male,White / Caucasian,5/28/2018,1,1_Blount,1009,,,
26,UP15330,2/28/2012,18.0,99.0,Dora,Jefferson,Alabama,Male,Black / African American,3/18/2020,1,1_Jefferson,1073,dora,1073_dora,
32,UP13161,11/3/1982,29.0,32.0,,Lee,Alabama,Female,Black / African American,7/10/2015,1,1_Lee,1081,,,
33,UP2747,5/7/2008,45.0,60.0,Huntsville,Limestone,Alabama,Male,White / Caucasian,5/30/2012,1,1_Limestone,1083,huntsville,1083_huntsville,
38,UP888,4/15/1997,19.0,34.0,,Marshall,Alabama,Male,White / Caucasian,6/8/2018,1,1_Marshall,1095,,,
44,UP853,5/17/2003,19.0,26.0,,Mobile,Alabama,Male,Black / African American,4/10/2020,1,1_Mobile,1097,,,
45,UP13101,4/9/1996,40.0,65.0,,Mobile,Alabama,Male,Uncertain,3/4/2020,1,1_Mobile,1097,,,
55,UP14028,12/21/1991,18.0,25.0,,None,Alabama,Male,White / Caucasian,3/31/2017,1,1_None,1999,,,
65,UP16839,7/24/1989,30.0,50.0,Fire Island,Anchorage,Alaska,Male,White / Caucasian,4/14/2020,2,2_Anchorage,2020,fireisland,2020_fireisland,
66,UP13432,5/6/2003,0.0,120.0,,Anchorage,Alaska,Male,White / Caucasian,2/13/2020,2,2_Anchorage,2020,,,
69,UP13496,3/2/1997,0.0,120.0,Egegik,Bristol Bay,Alaska,Unsure,Uncertain,4/14/2020,2,2_Bristol Bay,2060,egegik,2060_egegik,
70,UP12721,10/1/2010,0.0,120.0,Katmai National Park,Bristol Bay,Alaska,Unsure,Uncertain,2/13/2020,2,2_Bristol Bay,2060,katmainationalpark,2060_katmainationalpark,
73,UP13456,9/24/1997,18.0,18.0,Eagle,Fairbanks North Star,Alaska,Male,White / Caucasian,2/13/2020,2,2_Fairbanks North Star,2090,eagle,2090_eagle,
76,UP12119,9/23/2011,0.0,120.0,Galena,Fairbanks North Star,Alaska,Unsure,Uncertain,4/14/2020,2,2_Fairbanks North Star,2090,galena,2090_galena,
77,UP12375,8/20/1979,0.0,120.0,Tok,Fairbanks North Star,Alaska,Male,White / Caucasian,4/14/2020,2,2_Fairbanks North Star,2090,tok,2090_tok,
78,UP13489,9/23/1997,29.0,40.0,,Fairbanks North Star,Alaska,Male,White / Caucasian,9/6/2016,2,2_Fairbanks North Star,2090,,,
79,UP12723,7/17/2007,0.0,120.0,Harbor Island,Juneau,Alaska,Male,American Indian / Alaska Native,2/13/2020,2,2_Juneau,2110,harborisland,2110_harborisland,
86,UP12022,11/9/2013,0.0,120.0,Pybus Bay,Juneau,Alaska,Unsure,Uncertain,2/13/2020,2,2_Juneau,2110,pybusbay,2110_pybusbay,
87,UP13443,12/27/1982,0.0,120.0,,Juneau,Alaska,Unsure,Uncertain,2/13/2020,2,2_Juneau,2110,,,
109,UP13395,9/20/2004,0.0,120.0,,None,Alaska,Male,Uncertain,4/14/2020,2,2_None,2999,,,
110,UP7281,4/30/2001,20.0,30.0,,None,Alaska,Male,White / Caucasian,4/14/2020,2,2_None,2999,,,
111,UP13575,9/11/1997,0.0,120.0,,None,Alaska,Male,Uncertain,7/2/2018,2,2_None,2999,,,
112,UP7336,7/1/2002,35.0,60.0,1.5 mi from plane crash site 5 yrs previous,Apache,Arizona,Male,"White / Caucasian, Hispanic / Latino",2/8/2020,4,4_Apache,4001,,,
114,UP15755,6/3/1993,18.0,30.0,FT Apache,Apache,Arizona,Unsure,Uncertain,2/13/2019,4,4_Apache,4001,fortapache,4001_fortapache,
115,UP53053,10/10/2018,0.0,120.0,Keams Canyon,Apache,Arizona,Unsure,Uncertain,8/15/2019,4,4_Apache,4001,keamscanyon,4001_keamscanyon,
120,UP15912,7/19/2016,30.0,50.0,Apache Peak,Cochise,Arizona,Male,Uncertain,4/16/2020,4,4_Cochise,4003,apachepeak,4003_apachepeak,
160,UP54316,12/3/2017,0.0,120.0,near Huachca City,Cochise,Arizona,Unsure,Uncertain,10/2/2019,4,4_Cochise,4003,huachcacity,4003_huachcacity,
163,UP8435,9/12/1999,25.0,35.0,Paloma,Cochise,Arizona,Female,Uncertain,8/27/2019,4,4_Cochise,4003,paloma,4003_paloma,
167,UP9463,9/22/2009,18.0,30.0,Ramsey Canyon,Cochise,Arizona,Male,"Hispanic / Latino, Uncertain",8/15/2018,4,4_Cochise,4003,ramseycanyon,4003_ramseycanyon,
169,UP8148,11/22/1993,50.0,70.0,San Pedro,Cochise,Arizona,Male,Hispanic / Latino,8/27/2019,4,4_Cochise,4003,sanpedro,4003_sanpedro,
180,UP58485,1/26/2019,20.0,50.0,,Cochise,Arizona,Male,Hispanic / Latino,1/15/2020,4,4_Cochise,4003,,,
181,UP17584,11/17/2017,25.0,45.0,,Cochise,Arizona,Male,Uncertain,10/2/2019,4,4_Cochise,4003,,,
182,UP14810,12/4/2015,18.0,40.0,,Cochise,Arizona,Male,Uncertain,8/14/2019,4,4_Cochise,4003,,,
183,UP14421,6/27/2015,35.0,90.0,,Cochise,Arizona,Male,Hispanic / Latino,12/6/2016,4,4_Cochise,4003,,,
184,UP10202,1/27/2012,25.0,40.0,,Cochise,Arizona,Male,Hispanic / Latino,11/4/2013,4,4_Cochise,4003,,,
185,UP10201,7/27/2011,18.0,40.0,,Cochise,Arizona,Male,Uncertain,8/17/2015,4,4_Cochise,4003,,,
186,UP9644,6/24/2010,28.0,44.0,,Cochise,Arizona,Male,Hispanic / Latino,8/15/2018,4,4_Cochise,4003,,,
187,UP9479,4/2/2010,15.0,35.0,,Cochise,Arizona,Male,Hispanic / Latino,8/15/2018,4,4_Cochise,4003,,,
188,UP9440,1/7/2009,18.0,99.0,,Cochise,Arizona,Male,Hispanic / Latino,8/23/2019,4,4_Cochise,4003,,,
189,UP9439,10/26/2008,25.0,44.0,,Cochise,Arizona,Male,Hispanic / Latino,8/15/2018,4,4_Cochise,4003,,,
190,UP9438,9/22/2008,18.0,99.0,,Cochise,Arizona,Male,Hispanic / Latino,8/15/2018,4,4_Cochise,4003,,,
191,UP9434,1/22/2008,25.0,44.0,,Cochise,Arizona,Male,White / Caucasian,4/2/2020,4,4_Cochise,4003,,,
192,UP9431,12/22/2007,18.0,40.0,,Cochise,Arizona,Male,Hispanic / Latino,8/23/2019,4,4_Cochise,4003,,,
193,UP9429,5/5/2007,18.0,99.0,,Cochise,Arizona,Male,Hispanic / Latino,8/23/2019,4,4_Cochise,4003,,,
194,UP9426,7/30/2005,18.0,22.0,,Cochise,Arizona,Male,White / Caucasian,10/22/2019,4,4_Cochise,4003,,,
195,UP8956,4/4/2004,29.0,40.0,,Cochise,Arizona,Male,Uncertain,8/26/2019,4,4_Cochise,4003,,,
196,UP8436,12/8/2000,18.0,50.0,,Cochise,Arizona,Male,Uncertain,8/26/2019,4,4_Cochise,4003,,,
197,UP8430,4/21/1995,18.0,23.0,,Cochise,Arizona,Male,Uncertain,8/27/2019,4,4_Cochise,4003,,,
198,UP7843,3/31/1991,45.0,55.0,,Cochise,Arizona,Male,White / Caucasian,8/27/2019,4,4_Cochise,4003,,,
199,UP7841,5/7/1988,18.0,99.0,,Cochise,Arizona,Male,White / Caucasian,8/15/2018,4,4_Cochise,4003,,,
200,UP7830,3/12/1985,35.0,45.0,,Cochise,Arizona,Male,Hispanic / Latino,8/27/2019,4,4_Cochise,4003,,,
201,UP7828,3/2/1984,20.0,22.0,,Cochise,Arizona,Male,Hispanic / Latino,8/27/2019,4,4_Cochise,4003,,,
202,UP16299,7/10/1981,25.0,35.0,,Cochise,Arizona,Male,Hispanic / Latino,8/27/2019,4,4_Cochise,4003,,,
203,UP10200,11/22/2011,30.0,55.0,,Cochise,Arizona,Female,Hispanic / Latino,10/9/2015,4,4_Cochise,4003,,,
204,UP9460,2/12/2009,20.0,30.0,,Cochise,Arizona,Female,Hispanic / Latino,8/23/2019,4,4_Cochise,4003,,,
205,UP9437,6/28/2008,15.0,17.0,,Cochise,Arizona,Female,Hispanic / Latino,8/23/2019,4,4_Cochise,4003,,,
206,UP9424,2/25/2006,27.0,49.0,,Cochise,Arizona,Female,Hispanic / Latino,8/23/2019,4,4_Cochise,4003,,,
207,UP8950,5/29/2003,18.0,99.0,,Cochise,Arizona,Female,Uncertain,8/26/2019,4,4_Cochise,4003,,,
209,UP9943,11/11/1988,45.0,55.0,Ashfork,Coconino,Arizona,Male,White / Caucasian,3/4/2020,4,4_Coconino,4005,ashfork,4005_ashfork,
